"","A","B","C","AGold","BGold","CGold"
"ASV_1",0.13230052581430637,0.12286739134393038,0.15471109275322412,0.0,0.0,0.0
"ASV_2",0.10717436567032501,0.10283862274903953,0.09500206526228831,0.0,0.0,0.0
"ASV_3",0.07192010445707026,0.06547586533384316,0.09008215154435724,0.0,0.0,0.0
"ASV_4",0.06323887496912164,0.06134265581471568,0.08765891045940612,0.0,0.0,0.0
"ASV_5",0.06415640328898613,0.0617068152437137,0.08416173298453349,0.0,0.0,0.0
"ASV_6",0.07315523873381091,0.07924109174996814,0.05948873284684933,0.0,0.0,0.0
"ASV_7",0.056004517062497795,0.05283953314761203,0.06456468860434164,0.0,0.0,0.0
"ASV_8",0.04033595652327346,0.049361810600680976,0.05553260819679655,0.0,0.0,0.0
"ASV_9",0.052757878392208066,0.04455490613790718,0.049676442241498,0.0,0.0,0.0
"ASV_10",0.04654691745774076,0.0428615647930664,0.03404470145486255,0.0,0.0,0.0
"ASV_11",0.035042523908670645,0.029078130405491523,0.04371012896415623,0.0,0.0,0.0
"ASV_12",0.056286833468609944,0.05606234409424446,0.018165129193629812,0.0,0.0,0.0
"ASV_13",0.03839503123125242,0.05010833743012691,0.02533388406994355,0.0,0.0,0.0
"ASV_14",0.027208243639058476,0.03146337466542853,0.03406305934186975,0.0,0.0,0.0
"ASV_15",0.049687687475738436,0.05431437883505399,0.010867869108265638,0.0,0.0,0.0
"ASV_16",0.029219748032607545,0.029533329691739045,0.023644958465280645,0.0,0.0,0.0
"ASV_17",0.02050322899389491,0.023178747655723676,0.019450181284134196,0.0,0.0,0.0
"ASV_18",0.017715354483537425,0.017024453305657217,0.014475193905181514,0.0,0.0,0.0
"ASV_19",0.007269647457387868,0.010378543726443437,0.010142732571481022,0.0,0.0,0.0
"ASV_20",0.007022620602039736,0.009777680668596711,0.00912386984258112,0.0,0.0,0.0
"ASV_21",0.0,0.0,0.006590481435586764,0.0,0.0,0.0
"ASV_22",0.0,0.003823674004479161,0.004571113864794162,0.0,0.0,0.0
"ASV_23",0.0,0.0,0.004626187525815778,0.0,0.0,0.0
"ASV_24",0.0017997670889649574,0.0012745580014930536,0.00011932626554683555,0.0,0.0,0.0
"ASV_25",0.0006705014645163567,0.0,0.0,0.0,0.0,0.0
"ASV_26",0.0005646328122243004,0.0,0.0,0.0,0.0,0.0
"ASV_27",0.0,0.0002913275431984123,0.0,0.0,0.0,0.0
"ASV_28",0.0,0.00023670362884870998,0.0,0.0,0.0,0.0
"ASV_29",0.0,0.0002184956573988092,0.0,0.0,0.0,0.0
"ASV_30",0.0,0.0,8.261049153242462e-05,0.0,0.0,0.0
"ASV_31",0.0,0.0,7.343154802882188e-05,0.0,0.0,0.0
"ASV_32",0.0002470268553481314,0.0,0.0,0.0,0.0,0.0
"ASV_33",0.0002470268553481314,0.0,0.0,0.0,0.0,0.0
"ASV_34",0.00017644775382009387,0.0,0.0,0.0,0.0,0.0
"ASV_35",0.0001411582030560751,0.0,0.0,0.0,0.0,0.0
"ASV_36",0.0,7.283188579960307e-05,0.0,0.0,0.0,0.0
"ASV_37",0.0,7.283188579960307e-05,0.0,0.0,0.0,0.0
"ASV_38",0.0,0.0,3.671577401441094e-05,0.0,0.0,0.0
"ASV_39",7.057910152803755e-05,0.0,0.0,0.0,0.0,0.0
"ASV_40",7.057910152803755e-05,0.0,0.0,0.0,0.0,0.0
"ASV_41",7.057910152803755e-05,0.0,0.0,0.0,0.0,0.0
"GASV_1",0,0,0,0.05,0.05,0.05
"GASV_2",0,0,0,0.05,0.05,0.05
"GASV_3",0,0,0,0.05,0.05,0.05
"GASV_4",0,0,0,0.0357,0.0357,0.0357
"GASV_5",0,0,0,0.0071,0.0071,0.0071
"GASV_6",0,0,0,0.0071,0.0071,0.0071
"GASV_7",0,0,0,0.0464,0.0464,0.0464
"GASV_8",0,0,0,0.0036,0.0036,0.0036
"GASV_9",0,0,0,0.05,0.05,0.05
"GASV_10",0,0,0,0.05,0.05,0.05
"GASV_11",0,0,0,0.05,0.05,0.05
"GASV_12",0,0,0,0.05,0.05,0.05
"GASV_13",0,0,0,0.05,0.05,0.05
"GASV_14",0,0,0,0.05,0.05,0.05
"GASV_15",0,0,0,0.05,0.05,0.05
"GASV_16",0,0,0,0.05,0.05,0.05
"GASV_17",0,0,0,0.05,0.05,0.05
"GASV_18",0,0,0,0.05,0.05,0.05
"GASV_19",0,0,0,0.05,0.05,0.05
"GASV_20",0,0,0,0.05,0.05,0.05
"GASV_21",0,0,0,0.05,0.05,0.05
"GASV_22",0,0,0,0.05,0.05,0.05
"GASV_23",0,0,0,0.05,0.05,0.05
